neighbourhood_cleansed,MAE_EUR
Salvador,101.25508453369184
Piovera,99.43079523722433
Arcos,78.39227127075223
Estrella,67.85134321594269
Valdefuentes,64.60678991983124
Rosas,63.951331398703836
Goya,61.77032896665778
Imperial,55.05459204101571
Cármenes,53.19357028760408
Portazgo,52.22000525665298
El Viso,51.8099296813966
El Plantío,50.92863540649414
Castellana,50.5461674170659
El Goloso,48.42747497558594
Cortes,47.47957363519144
Recoletos,44.722075862211376
Palacio,44.65794763924049
Aeropuerto,42.808876037597656
Castilla,42.69294005173903
Mirasierra,42.5541136605399
Universidad,42.22568253025416
Puerta del Angel,41.89146310942514
Argüelles,41.68346549369193
Guindalera,40.3261588071936
Sol,39.923732533998155
Trafalgar,39.74735523379582
Almendrales,39.28868061359124
Castillejos,38.909091855941426
Justicia,37.80319137287792
Costillares,37.50985558827718
Rejas,36.79393782584908
Berruguete,36.60045564197363
Pinar del Rey,36.48023092335668
Ciudad Universitaria,36.42583694458008
Peñagrande,35.99637801276347
Palomeras Bajas,35.49260914325714
Rios Rosas,35.40263783957747
Ibiza,34.957652391074404
Bellas Vistas,34.71096067962659
Buenavista,34.252605619884676
Concepción,34.01323404312134
Almagro,33.06679854026208
Orcasur,32.09366912841797
Fuente del Berro,31.5044067136703
Embajadores,31.388824800923842
Lista,30.654350819795027
Gaztambide,30.0996076965332
Hellín,29.89519500732422
Ciudad Jardín,29.676995958600724
Adelfas,29.355849490446204
Puerta Bonita,28.559289387294225
Delicias,27.97946744087415
Jerónimos,27.55216808976798
Hispanoamérica,27.310704549153645
Palos de Moguer,27.178576455623578
Pacífico,26.79418150583903
San Diego,26.344869237957578
Casa de Campo,26.079589525858562
Prosperidad,25.859518984530833
Nueva España,25.45234146118164
Lucero,25.42870117636288
Los Rosales,24.966855239868163
Opañel,24.43885160747327
Simancas,24.38151392729386
Palomeras Sureste,24.23125457763672
Zofío,23.839000278049046
Pueblo Nuevo,23.496510150616043
San Isidro,23.063930717674463
Vista Alegre,22.69570591575221
Pilar,22.401776062814815
Pavones,22.207763671875
Butarque,22.17513084411621
Arapiles,21.827982551311678
Acacias,21.6716893643749
Atocha,21.250242614746092
Corralejos,20.89694595336914
Valdezarza,20.06716710870916
Moscardó,19.820503755049273
Marroquina,19.78560529436384
Cuatro Caminos,19.466073508401518
Comillas,19.450850651181977
Aravaca,19.184217770894367
La Paz,18.722635541643417
Ventas,18.474012872447137
Atalaya,18.17020034790039
San Juan Bautista,17.92901039123535
Niño Jesús,17.903393215603298
Casco Histórico de Vicálvaro,17.86924934387207
Numancia,17.630028894969396
Casco Histórico de Vallecas,17.590961054751748
Aluche,17.366824831281388
Legazpi,17.021102481418186
Pradolongo,16.586755752563477
Media Legua,16.429521560668945
Quintana,16.03325653076172
Canillejas,15.750921440124511
Fontarrón,15.70362180074056
Abrantes,15.677545928955078
Casco Histórico de Barajas,15.501373291015625
Canillas,15.476800733996976
Vallehermoso,15.094324656895228
Colina,14.647197723388672
Vinateros,13.903838244351475
Chopera,13.861465084937311
Los Angeles,13.729166030883789
Amposta,13.658294677734375
Almenara,13.542160511016846
San Pascual,13.537349007346414
Valverde,13.51837441229051
Valdeacederas,12.84214507511684
Aguilas,12.729430007934571
Santa Eugenia,12.454717636108398
San Andrés,11.845249357677641
San Fermín,11.609652996063232
Campamento,11.274134063720703
San Cristobal,11.246004740397135
Entrevías,10.717888832092285
Ambroz,9.935038566589355
Orcasitas,9.071751403808594
Timón,8.733267974853515
Apostol Santiago,7.349874905177525
Fuentelareina,6.7826080322265625
Alameda de Osuna,6.778972625732422
