feature,importance_mean,importance_std
room_type_Entire_home_apt,0.17624237276894142,0.004422069699052266
accommodates,0.15600259355178955,0.0036482772292035586
availability_365,0.07556626736718978,0.0025903554021494946
minimum_nights,0.06894657837654705,0.004224886815085461
dist_sol_km,0.06294720351582399,0.002295114685346595
host_listings_count,0.03489908866989512,0.0015161499982311896
bedrooms,0.031964042599864954,0.0014802372639966402
bathrooms,0.030407684794322595,0.0012367877547138095
host_response_rate_missing,0.027959088367685115,0.0012791143485769458
number_of_reviews,0.025628636101997893,0.0013272920190606518
host_response_rate,0.02144441573421998,0.0012911688312634033
neighbourhood_id,0.018547368884992643,0.0009623031788718783
room_type_Shared_room,0.010162056333556317,0.000522014295998989
review_scores_cleanliness,0.010147604419258582,0.0009607220720312666
room_type_Private_room,0.00873987849929897,0.0009495768989238912
review_scores_location,0.00803331835739602,0.0010263687336855426
amenity_dishwasher,0.007649620755234954,0.0006871056250132804
dist_metro_km,0.0063041326235404775,0.0007466591130608871
amenity_elevator,0.005879408425430473,0.0007601512965165759
amenity_air_conditioning,0.004960430274732127,0.0008696675563780112
